,YEAR,all_ppl_ZEIT,all_ppl_Express,mean_ppl_ZEIT,mean_ppl_Express,std_ppl_ZEIT,std_ppl_Express
0,1963,"[5.933789693637949, 5.523221692800902]","[6.199482361595224, 5.558098097603365]",5.728505693219425,5.878790229599295,0.20528400041852324,0.3206921319959295
1,2013,"[5.957410118790915, 5.806513552218744]","[6.063355038057216, 5.676248957629498]",5.88196183550483,5.869801997843357,0.07544828328608544,0.193553040213859
