,YEAR,YEAR_VAL,STUDENT_VALS,STUDENT_STD,YEARS_MEAN,YEARS_STD
0,1963,0.03289473684210526,"[0.0, 0.06578947368421052]",0.046520182972799175,0.03179824561403509,0.0015506727657599727
1,2013,0.03070175438596491,"[0.0, 0.06140350877192982]",0.04341883744127923,0.03179824561403509,0.0015506727657599727
