,FEAT,COR,VAL,MEAN,YEARS_STD
0,sent_lens,E,14.950202096753822,19.09973790577239,5.86832981866687
1,sent_lens,Z,23.249273714790956,19.09973790577239,5.86832981866687
0,tok_embeds,E,3.0208956039214665,3.24903741686129,0.3226412460038836
1,tok_embeds,Z,3.477179229801113,3.24903741686129,0.3226412460038836
0,max_sent_embeds,E,4.324754747168541,4.849601069428656,0.7422447871018949
1,max_sent_embeds,Z,5.374447391688771,4.849601069428656,0.7422447871018949
0,simpx_s,E,1.6146162266851922,1.7314270978064084,0.1651955181722394
1,simpx_s,Z,1.8482379689276243,1.7314270978064084,0.1651955181722394
0,subc_s,E,0.44174982106016586,0.547987453159867,0.15024270014980054
1,subc_s,Z,0.654225085259568,0.547987453159867,0.15024270014980054
0,relc_s,E,0.16857184960633234,0.2539524651593617,0.12074642447885732
1,relc_s,Z,0.33933308071239104,0.2539524651593617,0.12074642447885732
0,parac_s,E,0.0,0.011904761904761904,0.016835875742536845
1,parac_s,Z,0.023809523809523808,0.011904761904761904,0.016835875742536845
0,clauses_s,E,1.7831880762915244,1.9972843248705314,0.3027778183936333
1,clauses_s,Z,2.2113805734495386,1.9972843248705314,0.3027778183936333
0,verbx_s,E,2.5623236916340364,2.6616089848848468,0.14041060825948593
1,verbx_s,Z,2.760894278135657,2.6616089848848468,0.14041060825948593
0,vc_s,E,1.0796703296703296,1.1896709612226855,0.15556438501094727
1,vc_s,Z,1.299671592775041,1.1896709612226855,0.15556438501094727
0,nx_s,E,5.731737611047955,7.596195949644226,2.636742268922454
1,nx_s,Z,9.460654288240496,7.596195949644226,2.636742268922454
0,simpx_c,E,0.9097319187362508,0.8856134751766168,0.03410862998536442
1,simpx_c,Z,0.8614950316169828,0.8856134751766168,0.03410862998536442
0,subc_c,E,0.2282569347479304,0.25235275437874005,0.034076634918386826
1,subc_c,Z,0.27644857400954964,0.25235275437874005,0.034076634918386826
0,relc_c,E,0.09026808126374915,0.11032148417297666,0.028359794365961616
1,relc_c,Z,0.13037488708220416,0.11032148417297666,0.028359794365961616
0,parac_c,E,0.0,0.0040650406504065045,0.005748835619402826
1,parac_c,Z,0.008130081300813009,0.0040650406504065045,0.005748835619402826
0,clause_lens,E,11.789952621340687,13.774797900552908,2.806995113074136
1,clause_lens,Z,15.75964317976513,13.774797900552908,2.806995113074136
0,simpx_lens,E,12.231236822214266,14.061897528814821,2.5889451993780206
1,simpx_lens,Z,15.892558235415379,14.061897528814821,2.5889451993780206
0,relc_lens,E,7.658333333333334,10.39107142857143,3.8646752766993333
1,relc_lens,Z,13.123809523809525,10.39107142857143,3.8646752766993333
0,nx_lens,E,2.121715334776205,2.5033700390863967,0.5397412589789664
1,nx_lens,Z,2.8850247433965883,2.5033700390863967,0.5397412589789664
0,px_lens,E,3.40231555733761,3.9481815881926146,0.771971144073918
1,px_lens,Z,4.4940476190476195,3.9481815881926146,0.771971144073918
0,vf_lens,E,2.272398402630961,2.914914930031209,0.9086555870982954
1,vf_lens,Z,3.5574314574314574,2.914914930031209,0.9086555870982954
0,mf_lens,E,4.669179894179893,5.1803426071283205,0.7228932412310909
1,mf_lens,Z,5.691505320076748,5.1803426071283205,0.7228932412310909
0,nf_lens,E,8.789393939393939,10.154220779220779,1.9301566271739288
1,nf_lens,Z,11.519047619047619,10.154220779220779,1.9301566271739288
0,vv_nn,E,0.5489786716850937,0.47868205404388575,0.09941443005715209
1,vv_nn,Z,0.40838543640267777,0.47868205404388575,0.09941443005715209
