,MEASURE,FILENAME,ALL_VALS,MEAN,STD
0,MATTR,express_all.wpl,"[0.608, 0.5258823529411765, 0.5853846153846154]",0.5730889894419307,0.034633450137222285
1,MATTR,zeit_all.wpl,"[0.5995999999999999, 0.6144444444444443, 0.6020000000000001]",0.6053481481481481,0.006506251082997521
