,MEASURE,FILENAME,ALL_VALS,MEAN,STD
0,MTLD,express_all.wpl,"[240.37760325423096, 154.98494623655915, 213.69575053636345]",203.01943334238453,35.6694479889468
1,MTLD,zeit_all.wpl,"[235.02889825406385, 225.39974327852536, 232.07847426379556]",230.8357052654616,4.028110597054107
0,HD-D,express_all.wpl,"[0.8830422455991954, 0.8628436007334597, 0.8727277059590529]",0.872871184097236,0.008246686327858426
1,HD-D,zeit_all.wpl,"[0.8663459490127235, 0.8600092374671684, 0.8563817269412155]",0.8609123044737025,0.004117691739012675
0,MSTTR,express_all.wpl,"[0.792, 0.7459999999999999, 0.772]",0.7699999999999999,0.018832595855767444
1,MSTTR,zeit_all.wpl,"[0.776, 0.7779999999999999, 0.772]",0.7753333333333332,0.0024944382578492566
0,MATTR,express_all.wpl,"[0.608, 0.5258823529411765, 0.5853846153846154]",0.5730889894419307,0.034633450137222285
1,MATTR,zeit_all.wpl,"[0.5995999999999999, 0.6144444444444443, 0.6020000000000001]",0.6053481481481481,0.006506251082997521
