,YEAR,YEAR_VAL,STUDENT_VALS,STUDENT_STD
0,1963,0.736590437750704,"[0.7725926326423203, 0.7005882428590878]",0.05091479229092301
1,2013,0.774006566322178,"[0.77332480200875, 0.7746883306356062]",0.0009641603383919871
